"","id","id_seq","transicao","renda_depois","V1023","idade","genero","UF","escolaridade","raça","posicao_familiar","regiao","tempo_desemprego"
"119","350417470_11_11_05_04_2001_Mulher_3510212",13021,"Migrou para o setor privado",1500,"Capital",22,"Mulher","São Paulo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",1
"120","351308697_01_11_24_03_1986_Mulher_3510212",13064,"Migrou para o setor privado",1675,"Capital",37,"Mulher","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",14
"121","350266367_11_11_14_02_2004_Homem_3510311",13118,"Migrou para o setor privado",1320,"Capital",19,"Homem","São Paulo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",8
"122","350445119_07_11_24_03_2001_Homem_3510311",13125,"Migrou para o setor privado",1550,"Capital",22,"Homem","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",48
"123","350365978_02_11_25_06_2001_Homem_3510312",13197,"Migrou para o setor privado",1435,"Capital",22,"Homem","São Paulo","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",4
"124","350397456_09_11_19_02_2004_Mulher_3510312",13203,"Migrou para o setor privado",1366,"Capital",19,"Mulher","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",11
"125","350563693_02_11_26_06_1999_Homem_3510312",13209,"Migrou para o setor privado",2000,"Capital",24,"Homem","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",12
"126","350699453_08_11_14_10_1993_Mulher_3521011",13319,"Migrou para o setor privado",1725,"Resto da RM (Região Metropolitana, excluindo a capital)",30,"Mulher","São Paulo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",3
"127","350719364_14_11_10_09_1982_Homem_3521012",13438,"Migrou para TCP",1500,"Resto da RM (Região Metropolitana, excluindo a capital)",40,"Homem","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",24
"128","350289770_13_11_20_03_1967_Homem_3531011",13684,"Migrou para o setor privado",1850,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",56,"Homem","São Paulo","Ensino médio incompleto","Branco","Responsável pelo domicílio","Sudeste",9
"129","350269710_09_11_10_04_1974_Homem_3531012",13726,"Migrou para TCP",200,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",49,"Homem","São Paulo","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Sudeste",36
"130","350424409_08_11_07_01_1982_Homem_3532011",13833,"Migrou para o setor privado",1900,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Homem","São Paulo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",6
"131","351127792_06_11_01_02_2000_Mulher_3532013",13893,"Migrou para o setor privado",1600,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Mulher","São Paulo","Ensino médio completo","Branco","Não responsável pelo domicílio","Sudeste",16
"132","351315256_11_11_27_04_2004_Homem_3552011",14187,"Migrou para o setor privado",1600,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",19,"Homem","São Paulo","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",4
"133","351245679_05_11_05_12_1976_Homem_3555012",14632,"Migrou para TCP",800,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",46,"Homem","São Paulo","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",22
"134","410029259_11_11_31_10_1991_Homem_4120011",15027,"Migrou para TCP",1500,"Resto da RM (Região Metropolitana, excluindo a capital)",31,"Homem","Paraná","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",9
"135","410106116_06_11_09_02_1980_Homem_4120011",15034,"Migrou para o setor privado",1550,"Resto da RM (Região Metropolitana, excluindo a capital)",43,"Homem","Paraná","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",1
"136","410174383_05_11_19_07_1988_Mulher_4120013",15206,"Migrou para o setor privado",1510,"Resto da RM (Região Metropolitana, excluindo a capital)",35,"Mulher","Paraná","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sul",24
"137","410046166_10_11_17_12_2004_Homem_4153013",15498,"Migrou para o setor privado",1750,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Paraná","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sul",24
"138","410000383_03_11_20_11_2003_Mulher_4156013",15988,"Migrou para o setor privado",1706,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",19,"Mulher","Paraná","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",6
"139","420204662_10_11_14_12_1991_Homem_4252011",16661,"Migrou para TCP",2050,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",31,"Homem","Santa Catarina","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",4
"140","420169074_07_11_13_09_1976_Homem_4252012",16779,"Migrou para o setor privado",2050,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",47,"Homem","Santa Catarina","Ensino médio completo","Não branco","Responsável pelo domicílio","Sul",4
"141","420051791_05_11_02_12_1964_Mulher_4253011",16847,"Migrou para TCP",1350,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",59,"Mulher","Santa Catarina","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Sul",5
"142","420168162_07_11_22_12_1979_Homem_4253012",17073,"Migrou para o setor privado",3775,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",43,"Homem","Santa Catarina","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",1
"143","420168171_05_11_24_07_1990_Mulher_4253012",17085,"Migrou para o setor privado",2600,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Mulher","Santa Catarina","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",5
"144","420088499_14_11_16_10_1997_Mulher_4254013",17617,"Migrou para o setor privado",1500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",25,"Mulher","Santa Catarina","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sul",18
"145","430117439_11_11_21_07_1988_Homem_4310212",17852,"Migrou para o setor privado",1800,"Capital",35,"Homem","Rio Grande do Sul","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",5
"146","430001661_11_11_07_12_1959_Homem_4321012",18085,"Migrou para o setor privado",1900,"Resto da RM (Região Metropolitana, excluindo a capital)",63,"Homem","Rio Grande do Sul","Ensino médio incompleto","Branco","Responsável pelo domicílio","Sul",11
"147","430176068_06_11_08_02_1986_Homem_4321012",18126,"Migrou para o setor privado",1600,"Resto da RM (Região Metropolitana, excluindo a capital)",37,"Homem","Rio Grande do Sul","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",2
"148","430189510_12_11_19_01_1987_Homem_4321012",18134,"Migrou para o setor privado",2500,"Resto da RM (Região Metropolitana, excluindo a capital)",36,"Homem","Rio Grande do Sul","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",5
"149","430195489_04_11_08_08_1966_Homem_4321012",18136,"Migrou para TCP",500,"Resto da RM (Região Metropolitana, excluindo a capital)",56,"Homem","Rio Grande do Sul","Ensino médio incompleto","Branco","Responsável pelo domicílio","Sul",5
"150","430219618_02_11_28_11_1980_Mulher_4321012",18153,"Migrou para o setor privado",1500,"Resto da RM (Região Metropolitana, excluindo a capital)",42,"Mulher","Rio Grande do Sul","Ensino médio completo","Branco","Responsável pelo domicílio","Sul",1
"151","430219618_13_11_08_09_1982_Mulher_4321012",18162,"Migrou para TCP",2350,"Resto da RM (Região Metropolitana, excluindo a capital)",41,"Mulher","Rio Grande do Sul","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sul",14
"152","430021313_12_11_02_02_1996_Homem_4351011",18200,"Migrou para o setor privado",2500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",27,"Homem","Rio Grande do Sul","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",3
"153","430122153_03_11_27_01_1982_Homem_4352012",18376,"Migrou para o setor privado",500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Homem","Rio Grande do Sul","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sul",9
"154","430127131_10_11_21_11_1997_Mulher_4354012",18672,"Migrou para TCP",250,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",25,"Mulher","Rio Grande do Sul","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",13
"155","430146920_10_11_23_11_1996_Mulher_4355013",18890,"Migrou para o setor privado",2000,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",26,"Mulher","Rio Grande do Sul","Ensino médio completo","Branco","Não responsável pelo domicílio","Sul",1
"156","500040585_11_11_03_05_1980_Mulher_5051010",19157,"Migrou para TCP",1500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",43,"Mulher","Mato Grosso do Sul","Ensino médio completo","Branco","Responsável pelo domicílio","Centro-Oeste",6
"157","500004699_04_11_10_01_1995_Mulher_5052011",19175,"Migrou para o setor privado",3500,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",28,"Mulher","Mato Grosso do Sul","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",2
"158","500006203_08_11_22_05_2000_Homem_5052011",19181,"Migrou para o setor privado",2010,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Homem","Mato Grosso do Sul","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",6
"159","500053144_11_11_02_05_1997_Homem_5052011",19246,"Migrou para o setor privado",1550,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",26,"Homem","Mato Grosso do Sul","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Centro-Oeste",6
"160","500007906_05_11_09_08_2001_Homem_5053011",19362,"Migrou para o setor privado",2170,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",22,"Homem","Mato Grosso do Sul","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",3
"161","500025276_11_11_09_02_1980_Mulher_5053011",19385,"Migrou para TCP",1350,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",43,"Mulher","Mato Grosso do Sul","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Centro-Oeste",60
"162","500000824_03_11_27_05_2005_Homem_5053012",19414,"Migrou para o setor privado",2300,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Homem","Mato Grosso do Sul","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Centro-Oeste",1
"163","500054546_09_11_05_03_2005_Mulher_5053012",19438,"Migrou para o setor privado",625,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",18,"Mulher","Mato Grosso do Sul","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",1
"164","510030645_08_11_16_07_1997_Mulher_5110011",19507,"Migrou para o setor privado",2050,"Capital",26,"Mulher","Mato Grosso","Ensino médio completo","Não branco","Responsável pelo domicílio","Centro-Oeste",10
"165","520030143_07_11_14_09_1990_Homem_5210011",20071,"Migrou para o setor privado",3250,"Capital",33,"Homem","Goiás","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",36
"166","520077009_11_11_13_12_2002_Mulher_5220013",20406,"Migrou para o setor privado",1366,"Resto da RM (Região Metropolitana, excluindo a capital)",20,"Mulher","Goiás","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",24
"167","520094617_12_11_19_06_1999_Homem_5240011",20467,"Migrou para o setor privado",946,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",24,"Homem","Goiás","Ensino médio completo","Não branco","Responsável pelo domicílio","Centro-Oeste",1
"168","520113373_13_11_11_11_1973_Mulher_5240013",20555,"Migrou para o setor privado",1412,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",50,"Mulher","Goiás","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Centro-Oeste",3
"169","520113642_08_11_11_09_2000_Homem_5253011",20803,"Migrou para o setor privado",1436,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Homem","Goiás","Ensino médio completo","Branco","Não responsável pelo domicílio","Centro-Oeste",5
"170","530015610_11_11_19_11_1985_Homem_5310112",20970,"Migrou para TCP",1356,"Capital",38,"Homem","Distrito Federal","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Centro-Oeste",4
"171","530021461_14_11_18_06_1999_Mulher_5310211",21170,"Migrou para o setor privado",1700,"Capital",24,"Mulher","Distrito Federal","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",5
"172","530029190_09_11_11_01_2002_Mulher_5310211",21225,"Migrou para o setor privado",1607.5,"Capital",21,"Mulher","Distrito Federal","Ensino médio completo","Não branco","Responsável pelo domicílio","Centro-Oeste",4
"173","530001278_12_11_09_05_2000_Homem_5310212",21338,"Migrou para o setor privado",750,"Capital",23,"Homem","Distrito Federal","Ensino médio completo","Não branco","Não responsável pelo domicílio","Centro-Oeste",1
"174","530034360_01_11_01_06_1977_Homem_5310212",21410,"Migrou para o setor privado",5250,"Capital",46,"Homem","Distrito Federal","Ensino médio completo","Não branco","Responsável pelo domicílio","Centro-Oeste",6
"175","120014960_05_11_18_05_1998_Homem_1210010",21833,"Migrou para o setor privado",1006,"Capital",25,"Homem","Acre","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",4
"176","130039174_11_11_25_09_1989_Homem_1310113",22073,"Migrou para o setor privado",2000,"Capital",34,"Homem","Amazonas","Ensino médio completo","Branco","Não responsável pelo domicílio","Norte",3
"177","130108874_11_11_13_08_2004_Mulher_1310212",22271,"Migrou para o setor privado",1412,"Capital",19,"Mulher","Amazonas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",24
"178","130082904_10_11_08_05_1993_Mulher_1351010",22468,"Migrou para o setor privado",1412,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",30,"Mulher","Amazonas","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",19
"179","140003688_12_11_29_11_1975_Homem_1410011",22606,"Migrou para o setor privado",1556,"Capital",47,"Homem","Roraima","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",1
"180","140000582_05_11_19_08_2001_Homem_1410012",22673,"Migrou para o setor privado",2000,"Capital",22,"Homem","Roraima","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Norte",1
"181","140000582_07_11_24_05_1998_Mulher_1410012",22678,"Migrou para o setor privado",1450,"Capital",25,"Mulher","Roraima","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",3
"182","140000582_12_11_30_04_1986_Mulher_1410012",22680,"Migrou para TCP",1800,"Capital",37,"Mulher","Roraima","Ensino médio completo","Não branco","Responsável pelo domicílio","Norte",4
"183","140000582_12_11_09_07_2004_Homem_1410012",22681,"Migrou para TCP",1450,"Capital",19,"Homem","Roraima","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",5
"184","150014829_01_11_17_12_1996_Mulher_1520011",23112,"Migrou para TCP",1100,"Resto da RM (Região Metropolitana, excluindo a capital)",26,"Mulher","Pará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",2
"185","150066989_03_11_16_09_1988_Homem_1553011",23542,"Migrou para o setor privado",1000,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",35,"Homem","Pará","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Norte",1
"186","160005255_04_11_21_05_1990_Homem_1610112",23731,"Migrou para o setor privado",2118,"Capital",33,"Homem","Amapá","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Norte",3
"187","160002310_08_11_04_05_1981_Homem_1650010",23812,"Migrou para o setor privado",3000,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",42,"Homem","Amapá","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",1
"188","170025345_13_11_22_11_1996_Mulher_1751011",23990,"Migrou para o setor privado",1366,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",26,"Mulher","Tocantins","Ensino médio completo","Não branco","Não responsável pelo domicílio","Norte",1
"189","220022628_05_11_20_05_1983_Homem_2210013",25057,"Migrou para o setor privado",1466.5,"Capital",40,"Homem","Piauí","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",1
"190","220022628_13_11_30_01_1984_Mulher_2210013",25070,"Migrou para o setor privado",1412,"Capital",39,"Mulher","Piauí","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"191","220029616_05_11_11_08_1994_Mulher_2252011",25254,"Migrou para TCP",525,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",29,"Mulher","Piauí","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",1
"192","220027834_08_11_17_11_1992_Mulher_2252012",25303,"Migrou para TCP",250,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",31,"Mulher","Piauí","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",1
"193","230041004_05_11_10_04_1997_Homem_2320011",25548,"Migrou para o setor privado",1606,"Resto da RM (Região Metropolitana, excluindo a capital)",26,"Homem","Ceará","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Nordeste",6
"194","230095866_09_11_28_04_1995_Homem_2351012",25725,"Migrou para o setor privado",846,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",28,"Homem","Ceará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",12
"195","230124245_01_11_08_07_1982_Mulher_2351012",25738,"Migrou para o setor privado",1412,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",41,"Mulher","Ceará","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",36
"196","230020780_03_11_23_06_1966_Homem_2353011",25888,"Migrou para o setor privado",1412,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",57,"Homem","Ceará","Ensino médio incompleto","Branco","Responsável pelo domicílio","Nordeste",4
"197","230056980_04_11_15_03_1994_Mulher_2354011",26083,"Migrou para TCP",200,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",29,"Mulher","Ceará","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",84
"198","240042168_06_11_05_10_2001_Homem_2410012",26247,"Migrou para o setor privado",1412,"Capital",22,"Homem","Rio Grande do Norte","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",3
"199","240073436_05_11_11_10_1995_Mulher_2420010",26264,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",28,"Mulher","Rio Grande do Norte","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",4
"200","240073436_07_11_21_09_2001_Homem_2420010",26266,"Migrou para o setor privado",1650,"Resto da RM (Região Metropolitana, excluindo a capital)",22,"Homem","Rio Grande do Norte","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",6
"201","240084557_04_11_19_04_2002_Mulher_2420010",26312,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",21,"Mulher","Rio Grande do Norte","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"202","240081773_04_11_29_06_2001_Mulher_2452011",26428,"Migrou para o setor privado",300,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",22,"Mulher","Rio Grande do Norte","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",4
"203","250057979_10_11_05_09_2001_Homem_2510011",26617,"Migrou para TCP",2000,"Capital",22,"Homem","Paraíba","Ensino médio completo","Branco","Não responsável pelo domicílio","Nordeste",8
"204","250063833_03_11_26_01_1972_Mulher_2510011",26655,"Migrou para o setor privado",1506,"Capital",51,"Mulher","Paraíba","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",12
"205","250063833_07_11_29_12_2000_Homem_2510011",26660,"Migrou para o setor privado",2000,"Capital",22,"Homem","Paraíba","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"206","250030535_03_11_18_06_1998_Homem_2510012",26704,"Migrou para o setor privado",1700,"Capital",25,"Homem","Paraíba","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",6
"207","250039526_12_11_21_04_2000_Homem_2552011",26928,"Migrou para o setor privado",510,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Homem","Paraíba","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",4
"208","250075386_06_11_30_07_1989_Homem_2552011",26963,"Migrou para TCP",1100,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",34,"Homem","Paraíba","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",7
"209","260226820_12_11_04_07_1987_Mulher_2610011",27219,"Migrou para o setor privado",4500,"Capital",36,"Mulher","Pernambuco","Ensino médio completo","Branco","Responsável pelo domicílio","Nordeste",36
"210","260129857_13_11_08_03_1990_Mulher_2651012",27554,"Migrou para o setor privado",1510,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",33,"Mulher","Pernambuco","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",5
"211","270027909_03_11_20_08_2002_Mulher_2710111",27949,"Migrou para o setor privado",0,"Capital",21,"Mulher","Alagoas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",60
"212","270018467_07_11_16_07_1973_Homem_2710112",28095,"Migrou para TCP",2250,"Capital",50,"Homem","Alagoas","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",12
"213","270019297_12_11_04_07_1995_Homem_2710113",28121,"Migrou para o setor privado",1200,"Capital",28,"Homem","Alagoas","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"214","270002228_07_11_07_08_1963_Homem_2720010",28145,"Migrou para o setor privado",1250,"Resto da RM (Região Metropolitana, excluindo a capital)",60,"Homem","Alagoas","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Nordeste",1
"215","270003406_13_11_15_01_1978_Homem_2720010",28166,"Migrou para TCP",410,"Resto da RM (Região Metropolitana, excluindo a capital)",46,"Homem","Alagoas","Ensino médio incompleto","Branco","Responsável pelo domicílio","Nordeste",17
"216","280033620_02_11_13_06_1994_Homem_2810011",28505,"Migrou para o setor privado",2912.5,"Capital",29,"Homem","Sergipe","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",6
"217","290101926_02_11_12_06_2001_Homem_2910113",28802,"Migrou para o setor privado",800,"Capital",22,"Homem","Bahia","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Nordeste",4
"218","290014033_12_11_28_03_1983_Mulher_2910211",28852,"Migrou para o setor privado",1412,"Capital",40,"Mulher","Bahia","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Nordeste",24
"219","290134428_13_11_30_01_2002_Mulher_2910212",28916,"Migrou para o setor privado",1307,"Capital",21,"Mulher","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"220","290056703_11_11_03_03_1999_Homem_2920011",28952,"Migrou para o setor privado",1431,"Resto da RM (Região Metropolitana, excluindo a capital)",24,"Homem","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",1
"221","290183126_04_11_17_06_1979_Mulher_2920013",29017,"Migrou para o setor privado",1500,"Resto da RM (Região Metropolitana, excluindo a capital)",44,"Mulher","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",3
"222","290188573_12_11_24_08_2003_Homem_2952012",29184,"Migrou para o setor privado",900,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Homem","Bahia","Ensino médio completo","Não branco","Não responsável pelo domicílio","Nordeste",6
"223","290044560_12_11_16_05_1989_Mulher_2956011",29397,"Migrou para TCP",653,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",34,"Mulher","Bahia","Ensino médio completo","Não branco","Responsável pelo domicílio","Nordeste",108
"224","310198351_13_11_02_10_1994_Homem_3110112",29604,"Migrou para TCP",1750,"Capital",29,"Homem","Minas Gerais","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",2
"225","310288234_06_11_09_10_1997_Homem_3110113",29670,"Migrou para o setor privado",1706,"Capital",26,"Homem","Minas Gerais","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",18
"226","310223192_07_11_15_02_2004_Mulher_3110211",29711,"Migrou para o setor privado",1412,"Capital",19,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",1
"227","310250028_10_11_08_07_1961_Mulher_3110211",29725,"Migrou para o setor privado",1500,"Capital",62,"Mulher","Minas Gerais","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Sudeste",5
"228","310511400_04_11_08_03_2005_Homem_3120012",30110,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",18,"Homem","Minas Gerais","Ensino médio incompleto","Não branco","Não responsável pelo domicílio","Sudeste",36
"229","310034303_04_11_20_04_1994_Homem_3130011",30218,"Migrou para o setor privado",2050,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",29,"Homem","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",2
"230","310011704_14_11_19_09_2002_Homem_3151013",30498,"Migrou para o setor privado",1606,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",21,"Homem","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",8
"231","310384631_11_11_07_04_2000_Mulher_3152013",30673,"Migrou para o setor privado",1800,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",23,"Mulher","Minas Gerais","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",1
"232","310389470_11_11_11_12_1999_Mulher_3153011",30757,"Migrou para o setor privado",1456,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",24,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Responsável pelo domicílio","Sudeste",9
"233","310575114_12_11_06_11_2003_Homem_3154012",30972,"Migrou para o setor privado",706,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Homem","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",12
"234","310507234_02_11_10_06_2003_Mulher_3155011",31052,"Migrou para o setor privado",1850,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",20,"Mulher","Minas Gerais","Ensino médio completo","Não branco","Não responsável pelo domicílio","Sudeste",4
"235","310269130_09_11_15_08_1972_Homem_3155013",31157,"Migrou para TCP",2700,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",51,"Homem","Minas Gerais","Ensino médio incompleto","Branco","Não responsável pelo domicílio","Sudeste",3
"236","310138840_09_11_15_05_1997_Homem_3156013",31379,"Migrou para o setor privado",1556,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",26,"Homem","Minas Gerais","Ensino médio completo","Branco","Responsável pelo domicílio","Sudeste",5
"237","320015295_04_11_30_05_1985_Homem_3220012",31628,"Migrou para o setor privado",1412,"Resto da RM (Região Metropolitana, excluindo a capital)",38,"Homem","Espírito Santo","Ensino médio incompleto","Não branco","Responsável pelo domicílio","Sudeste",24
